code,name,name_fa,icao,logo
0D,Darwin Airline,,DWT,images/airlines/DWT.png
0J,Jetclub,,JCS,images/airlines/JCS.png
1A,Amadeus Global Travel Distribution,,AGT,images/airlines/AGT.png
2F,TWO TAXI AEREO,,FTA,images/airlines/FTA.png
2G,Angara Airlines,,MRR,images/airlines/MRR.png
2J,Air Burkina,,VBW,images/airlines/VBW.png
2K,Aerolineas Galapagos,,GLG,images/airlines/GLG.png
2L,Helvetic Airways,,OAW,images/airlines/OAW.png
2M,Moldavian Airlines,,MDV,images/airlines/MDV.png
2N,NextJet,,NTJ,images/airlines/NTJ.png
2P,Airphill Express,,GAP,images/airlines/GAP.png
2Q,Air Cargo Carriers,,SNC,images/airlines/SNC.png
2W,Welcome Air,,WLC,images/airlines/WLC.png
2Z,Chang'an Airlines,,CGN,images/airlines/CGN.png
3K,Jetstar Asia Airways,,JSA,images/airlines/JSA.png
3L,Air Arabia Abu Dhabi,,ISK,images/airlines/ISK.png
3N,Air Urga,,URG,images/airlines/URG.png
3P,Tiara Air,,TNM,images/airlines/TNM.png
3R,Avior Regional,,GAI,images/airlines/GAI.png
3T,Tarco Air,,URN,images/airlines/URN.png
3U,Sichuan Airlines,,CSC,images/airlines/CSC.png
4A,Aero Transporte,,AKL,images/airlines/AKL.png
4B,Boutique Air,,BTQ,images/airlines/BTQ.png
4C,Latam Airlines Colombia,,ARE,images/airlines/ARE.png
4D,Air Sinai,,ASD,images/airlines/ASD.png
4G,Gazpromavia,,GZP,images/airlines/GZP.png
4H,HiSky,,UBD,images/airlines/UBD.png
4K,Kenn Borek Air,,AAS,images/airlines/AAS.png
4M,Mavi Gok,,DSM,images/airlines/DSM.png
4N,Air North Charter - Canada,,ANT,images/airlines/ANT.png
4T,Belair Airlines,,BHP,images/airlines/BHP.png
4U,Germanwings,,GWI,images/airlines/GWI.png
4Y,EW Discover,,RBU,images/airlines/RBU.png
5A,Alpine Air Express,,AIP,images/airlines/AIP.png
5C,Nature Air,,ICL,images/airlines/ICL.png
5D,Aerolitoral,,UDC,images/airlines/UDC.png
5G,Aerocuahonte,,SSV,images/airlines/SSV.png
5H,Fly540,,FFV,images/airlines/FFV.png
5J,Cebu Pacific,,CEB,images/airlines/CEB.png
5L,Fly Salone,,RSU,images/airlines/RSU.png
5M,Montserrat Airways,,SIB,images/airlines/SIB.png
5N,Nordavia,,AUL,images/airlines/AUL.png
5T,Canadian North,,MPE,images/airlines/MPE.png
5W,Wizz Air Abu Dhabi,,AEU,images/airlines/AEU.png
5X,United Parcel Service,,UPS,images/airlines/UPS.png
5Y,Atlas Air,,GTI,images/airlines/GTI.png
5Z,Cemair,,VVC,images/airlines/VVC.png
6A,Armenia Airways,,CHP,images/airlines/CHP.png
6B,TUIfly Nordic,,BLX,images/airlines/BLX.png
6E,IndiGo Airlines,,IGO,images/airlines/IGO.png
6H,Israir,,ISR,images/airlines/ISR.png
6J,Solaseed Air,,SNJ,images/airlines/SNJ.png
6K,Kyrgyz Trans Avia,,RIT,images/airlines/RIT.png
6N,Niger Airlines,,NRD,images/airlines/NRD.png
6Q,Cham Wings Airlines,,SLL,images/airlines/SLL.png
6R,Mirny Air,,DRU,images/airlines/DRU.png
6W,Saratov Airlines Joint Stock Company,,SOV,images/airlines/SOV.png
7C,Jeju Air,,JJA,images/airlines/JJA.png
7E,Sylt Air GmbH,,AWU,images/airlines/AWU.png
7F,First Air,,FAB,images/airlines/FAB.png
7G,Star Flyer,,SFJ,images/airlines/SFJ.png
7K,Kogalymavia Air Company,,KGL,images/airlines/KGL.png
7L,Aerocaribbean,,ERO,images/airlines/ERO.png
7N,Pan American World,,CNA,images/airlines/CNA.png
7R,Rusline,,SJM,images/airlines/SJM.png
8C,Air Transport International,,CXI,images/airlines/CXI.png
8E,Bering Air,,BRG,images/airlines/BRG.png
8F,Stp Airways,,STP,images/airlines/STP.png
8H,BH Air,,HFR,images/airlines/HFR.png
8L,Lucky Air,,RHC,images/airlines/RHC.png
8M,Myanmar Airways International,,MMM,images/airlines/MMM.png
8P,Pacific Coastal Airlines,,PCO,images/airlines/PCO.png
8U,Afriqiyah Airways,,AAW,images/airlines/AAW.png
8V,Wright Air Service,,WRF,images/airlines/WRF.png
8W,Fly Always,,PWF,images/airlines/PWF.png
8Y,Air Burundi,,CYZ,images/airlines/CYZ.png
8Z,Wizz Air Bulgaria,,WVL,images/airlines/WVL.png
9E,Endeavor Air,,FLG,images/airlines/FLG.png
9F,Eurostar,,TLM,images/airlines/TLM.png
9K,Cape Air,,KAP,images/airlines/KAP.png
9Q,Caicos Express Airways,,PBA,images/airlines/PBA.png
9R,Phuket Air,,NSE,images/airlines/NSE.png
9T,Transwest Air,,ABS,images/airlines/ABS.png
9U,Air Moldova,,MLD,images/airlines/MLD.png
9W,Jet Airways,,JAI,images/airlines/JAI.png
A3,Aegean Airlines,,AEE,images/airlines/AEE.png
A5,Hop,,RLA,images/airlines/RLA.png
A8,Benin Golf Air,,BGL,images/airlines/BGL.png
A9,Georgian Airways,,TGZ,images/airlines/TGZ.png
AA,American Airlines,,AAL,images/airlines/AAL.png
AB,Air Berlin,,BER,images/airlines/BER.png
AC,Air Canada,,ACA,images/airlines/ACA.png
AD,Azul Linhas Aéreas Brasileiras,,AZU,images/airlines/AZU.png
AE,Mandarin Airlines,,MDA,images/airlines/MDA.png
AF,Air France,,AFR,images/airlines/AFR.png
AH,Air Algérie,,DAH,images/airlines/DAH.png
AI,Air India Limited,,AIC,images/airlines/AIC.png
AJ,Aero Contractors,,NIG,images/airlines/NIG.png
AK,AirAsia,,AXM,images/airlines/AXM.png
AL,Air Leisure,,TXC,images/airlines/TXC.png
AM,Aeromexico,,AMX,images/airlines/AMX.png
AN,Advanced Air,,AAA,images/airlines/AAA.png
AP,AlbaStar,,ADH,images/airlines/ADH.png
AQ,9 Air,,AAH,images/airlines/AAH.png
AR,Aerolíneas Argentinas,,ARG,images/airlines/ARG.png
AS,Alaska Airlines,,ASA,images/airlines/ASA.png
AT,Royal Air Maroc,,RAM,images/airlines/RAM.png
AU,Canada Jetlines,,AUT,images/airlines/AUT.png
AV,Avianca,,AVA,images/airlines/AVA.png
AW,Africa World Airlines,,AWM,images/airlines/AWM.png
AX,Trans States Airlines,,LOF,images/airlines/LOF.png
AY,Finnair,,FIN,images/airlines/FIN.png
AZ,ITA Airways,,AZA,images/airlines/AZA.png
B2,Belavia Belarusian,,BRU,images/airlines/BRU.png
B3,Bellview Airlines,,BLV,images/airlines/BLV.png
B4,Zanair,,GSM,images/airlines/GSM.png
B6,JetBlue Airways,,JBU,images/airlines/JBU.png
B7,Uni Airways,,UIA,images/airlines/UIA.png
B8,Eritrean Airlines,,ERT,images/airlines/ERT.png
B9,Iran Air Tour,هواپیمایی ایران ایر تور,IRB,images/airlines/IRB.png
BA,British Airways,,BAW,images/airlines/BAW.png
BB,Seaborne Airlines,,SBS,images/airlines/SBS.png
BC,Skymark Airlines,,SKY,images/airlines/SKY.png
BD,BMI,,BMA,images/airlines/BMA.png
BE,Flybe,,BEE,images/airlines/BEE.png
BF,French Bee,,BBD,images/airlines/BBD.png
BG,Biman Bangladesh Airlines,,BBC,images/airlines/BBC.png
BI,Royal Brunei Airlines,,RBA,images/airlines/RBA.png
BJ,Nouvel Air Tunisie,,LBT,images/airlines/LBT.png
BL,Pacific Airlines,,PIC,images/airlines/PIC.png
BP,Air Botswana,,BOT,images/airlines/BOT.png
BQ,Bukovyna Airlines,,BQB,images/airlines/BQB.png
BR,EVA Air,,EVA,images/airlines/EVA.png
BT,Air Baltic,,BTI,images/airlines/BTI.png
BV,Blue Panorama Airlines,,BPA,images/airlines/BPA.png
BW,Caribbean Airlines,,BWA,images/airlines/BWA.png
BX,Air Busan,,ABL,images/airlines/ABL.png
BY,TUI Airways,,TOM,images/airlines/TOM.png
C2,Ceiba Intercontinental,,CAP,images/airlines/CAP.png
C5,CommutAir,,UCA,images/airlines/UCA.png
C6,CanJet,,CJA,images/airlines/CJA.png
C9,Cirrus Airlines,,RUS,images/airlines/RUS.png
CA,Air China,,CCA,images/airlines/CCA.png
CB,Kalitta Charters II,,CCC,images/airlines/CCC.png
CC,CM Airlines,,MCK,images/airlines/MCK.png
CE,Nationwide Airlines,,NTW,images/airlines/NTW.png
CF,City Airline,,SDR,images/airlines/SDR.png
CG,Airlines PNG,,TOK,images/airlines/TOK.png
CH,Bemidji Airlines,,BMJ,images/airlines/BMJ.png
CI,China Airlines,,CAL,images/airlines/CAL.png
CJ,CityFlyer,,CFE,images/airlines/CFE.png
CK,China Cargo Airlines,,CKK,images/airlines/CKK.png
CL,Lufthansa CityLine,,CLH,images/airlines/CLH.png
CM,Copa Airlines,,CMP,images/airlines/CMP.png
CP,Compass Airlines,,CPZ,images/airlines/CPZ.png
CPN,Caspian,هواپیمایی کاسپین,CPN,images/airlines/CPN.png
CS,Continental Micronesia,,CMI,images/airlines/CMI.png
CU,Cubana de Aviación,,CUB,images/airlines/CUB.png
CV,Cargolux,,CLX,images/airlines/CLX.png
CX,Cathay Pacific,,CPA,images/airlines/CPA.png
CY,Cyprus Airways,,CYP,images/airlines/CYP.png
CZ,China Southern Airlines,,CSN,images/airlines/CSN.png
D3,Daallo Airlines,,DAO,images/airlines/DAO.png
D4,Alidaunia,,LID,images/airlines/LID.png
D6,Interair South Africa,,ILN,images/airlines/ILN.png
D7,AirAsia X,,XAX,images/airlines/XAX.png
D9,Donavia,,DNV,images/airlines/DNV.png
DB,Brit Air,,BZH,images/airlines/BZH.png
DC,Golden Air,,GAO,images/airlines/GAO.png
DD,Nok Air,,NOK,images/airlines/NOK.png
DE,Condor Flugdienst,,CFG,images/airlines/CFG.png
DG,Cebgo,,SRQ,images/airlines/SRQ.png
DK,Eastland Air,,ELA,images/airlines/ELA.png
DL,Delta Air Lines,,DAL,images/airlines/DAL.png
DP,Pobeda,,FCA,images/airlines/FCA.png
DR,Ruili Airlines,,BIE,images/airlines/BIE.png
DT,TAAG Angola Airlines,,DTA,images/airlines/DTA.png
DU,Air Liaison,,NLH,images/airlines/NLH.png
DV,JSC Aircompany SCAT,,VSV,images/airlines/VSV.png
DX,DAT Danish Air Transport,,DTR,images/airlines/DTR.png
DY,Norwegian Air Shuttle,,NAX,images/airlines/NAX.png
