code,name,name_fa,country_code,city_name,city_name_fa,is_international
AAA,Anaa,فرودگاه آنا,PF,Anaa,Anaa,0
AAB,Arrabury,فرودگاه آرابری,AU,,Arrabury,0
AAC,El Arish Intl,فرودگاه بین‌المللی العریش,EG,El Arish,عریش,1
AAE,Rabah Bitat,فرودگاه راباه بیتات (Les Salines Airport),DZ,Annaba,عنابه,0
AAF,AAF,فرودگاه محلی اپلچیکولا,US,,آپالاچیکولا,0
AAG,AAG,Arapoti Airport,BR,,Arapoti,0
AAH,Merzbrueck,فرودگاه مرتسبروک,DE,Aachen,آخن,0
AAI,Arraias Airport,فرودگاه آرایاس,BR,,Arraias,0
AAJ,AAJ,فرودگاه تک‌بانده کایانا,SR,,Awaradam,0
AAK,AAK,فرودگاه آراناکا,KI,,آرانوکا,0
AAL,Aalborg,فرودگاه آلبورگ,DK,Aalborg,آلبورگ,0
AAM,Mala Mala,فرودگاه مالا مالا,ZA,Mala Mala,Mala Mala,0
AAN,Al Ain,فرودگاه بین‌المللی العین,AE,Al Ain,العین,1
AAO,Anaco,فرودگاه اناکو,VE,Anaco,اناکو,0
AAQ,Anapa,فرودگاه آناپا,RU,Anapa,آناپا,0
AAR,Aarhus,فرودگاه آرهوس,DK,Aarhus,آرهوس,0
AAS,Apalapsili,فرودگاه اپلپسیلی,ID,Apalapsili,Apalapsili,0
AAT,Altay,فرودگاه آلتای,CN,Altay,التای سیتی,0
AAU,Asau,فرودگاه اساو,WS,Asau,Asau,0
AAV,Allah Valley,فرودگاه الله ولی,PH,Surallah,Surallah,0
AAW,AAW,فرودگاه ابیت‌آباد,PK,,ایبت‌آباد,0
AAX,Araxa,فرودگاه آراکسا,BR,Araxa,Araxá,0
AAY,Al Ghaydah,فرودگاه الغیضه,YE,Al Ghaydah,الغیضه,1
AAZ,AAZ,فرودگاه کتسالتنانگو,GT,,Quetzaltenango,0
ABA,Abakan,فرودگاه آباکان,RU,Abakan,آباکان,0
ABB,Asaba Intl,فرودگاه بین‌المللی اسابا,NG,Asaba,آسابا,1
ABC,Los Llanos,,ES,Albacete,,0
ABD,Abadan,فرودگاه آبادان,IR,Abadan,آبادان,0
ABE,Lehigh Valley Intl,فرودگاه بین‌المللی لی والی,US,Allentown,آلن‌تاون,1
ABF,ABF,فرودگاه ابایانگ اتل,KI,,آبایانگ,0
ABG,ABG,فرودگاه آبینگدون,AU,,Abingdon,0
ABH,ABH,فرودگاه آلفا,AU,,Alpha,0
ABI,Abilene Regional,فرودگاه منطقه‌ای ابلین,US,Abilene,ابیلین,0
ABJ,Felix Houphouet Boigny,,CI,Abidjan,,0
ABK,Kabri Dar,Kabri Dar Airport,ET,Kebri Dehar,Kabri Dar (Kabre Dare),0
ABL,Ambler,فرودگاه امبلر (FAA: AFM),US,Ambler,امبلر,0
ABM,Northern Peninsula,فرودگاه نورثرن پنینسولا,AU,Bamaga,Bamaga,0
ABN,Albina,فرودگاه تک‌بانده آلبینا,SR,Albina,Albina,0
ABP,Atkamba,فرودگاه اتکامبا,PG,Atkamba,Atkamba,0
ABQ,Albuquerque Intl Sunport,فرودگاه بین‌المللی آلبوکرکی,US,Albuquerque,البوکرکی,1
ABR,Aberdeen Municipal,فرودگاه ابردین,US,Aberdeen,ابردین,0
ABS,Abu Simbel,فرودگاه ابو سمبل,EG,Abu Simbel,ابو سمبل,0
ABT,Al-Aqiq,فرودگاه داخلی الباحه,SA,Al Baha,الباحه,0
ABU,Haliwen,فرودگاه هالیم پرداناکوسوما,ID,Atambua,Atambua,0
ABV,Nnamdi Azikiwe Intl,فرودگاه بین‌المللی ننامدی آزیکیوه,NG,Abuja,آبوجا,1
ABW,Abau,فرودگاه اباو,PG,Abau,Abau,0
ABX,Albury,فرودگاه البری,AU,Albury,آلبری,0
ABY,Southwest Georgia Regional,فرودگاه محلی ساوثوست جرجیا,US,Albany,آلبانی,0
ABZ,Aberdeen Intl,فرودگاه آبردین,GB,Aberdeen,ابردین,0
ACA,Acapulco Intl,فرودگاه بین‌المللی ژنرال خوان آلوارز,MX,Acapulco,آکاپولکو,1
ACB,ACB,فرودگاه شهرستان آنتریم,US,,Bellaire,0
ACC,Kotoka Intl,فرودگاه بین‌المللی کوتوکا,GH,Accra,آکرا,1
ACD,ACD,فرودگاه السیدز فرناندز,CO,,اکاندی,0
ACE,Lanzarote,فرودگاه لانزاروته,ES,Lanzarote,Arrecife,0
ACF,Brisbane Archerfield,,AU,Queensland,,0
ACH,Altenrhein,فرودگاه سنت گالن-آلترنهاین,CH,Altenrhein, Altenrhein,0
ACI,Alderney ,فرودگاه الدرنی,GB,Alderney,آلدرنی,0
ACJ,Anuradhapura,,LK,Anuradhapura,,0
ACK,Nantucket Memorial ,فرودگاه نانتاکت مموریال,US,Nantucket,نانتاکت,0
ACL,ACL,فرودگاه اگواکلارا,CO,,Aguaclara,0
ACM,ACM,فرودگاه بین‌المللی چاکلوتا,CO,,Arica,0
ACP,Sahand,فرودگاه سهند,IR,Maragheh,سهند,0
ACR,Araracuara,Araracuara Airport,CO,Araracuara,Araracuara,0
ACS,ACS,فرودگاه آچینسک,RU,,آچینسک,0
ACT,Waco Municipal,فرودگاه محلی واکو,US,Waco,ویکو,0
ACU,Achutupo,فرودگاه اچوتوپو,PA,Achutupo,اکاتوپو,0
ACX,ACX,,CN,,,0
ACY,Atlantic City Intl,فرودگاه بین‌المللی اتلنتیک سیتی,US,Atlantic City,آتلانتیک سیتی,1
ACZ,Zabol,فرودگاه زابل,IR,Zabol,زابل,0
ADA,Sakirpasa - Adana,فرودگاه آدانا,TR,Adana,آدانا,0
