date,event_name,event_type,is_off
2025-03-21,شهادت حضرت امام علی(ع)(۵۴۰ ه‍‍.ق),hijri,1
2025-03-21,آغاز نوروز,jalali,1
2025-03-21,روز جهانی شعر,gregorian,0
2025-03-22,شب قدر,hijri,0
2025-03-22,عید نوروز,jalali,1
2025-03-22,هجوم مأموران ستم‌شاهی پهلوی به مدرسهٔ فیضیهٔ قم(۱۳۴۲ ه‍.ش),jalali,0
2025-03-22,آغاز عملیات فتح‌المبین(۱۳۶۱ ه‍.ش),jalali,0
2025-03-22,روز جهانی آب,gregorian,0
2025-03-23,عید نوروز,jalali,1
2025-03-23,روز جهانی هواشناسی,gregorian,0
2025-03-24,عید نوروز,jalali,1
2025-03-26,زادروز زرتشت پیامبر,jalali,0
2025-03-27,روز هنرهای نمایشی,jalali,0
2025-03-30,عید سعید فطر,hijri,1
2025-03-30,همه‌پرسی تغییر نظام شاهنشاهی به جمهوری اسلامی ایران(۱۳۵۸ ه‍.ش),jalali,0
2025-04-01,روز جمهوری اسلامی ایران,jalali,1
2025-04-02,روز طبیعت,jalali,1
2025-04-04,روز ذخایر ژنتیکی و زیستی,jalali,0
2025-04-05,روز جهانی کودک فلسطینی,gregorian,0
2025-04-07,روز سلامتی,jalali,0
2025-04-08,شهادت آیت‌اللّه سید محمد باقر صدر و خواهر ایشان بنت‌الهدی توسط رژیم بعث عراق(۱۳۵۹ ه‍.ش),jalali,0
2025-04-09,قطع مناسبات سیاسی ایران و آمریکا(۱۳۵۹ ه‍.ش),jalali,0
2025-04-09,روز ملی فناوری هسته‌ای,jalali,0
2025-04-09,شهادت سید مرتضی آوینی (۱۳۷۲ ه‍.ش),jalali,0
2025-04-09,روز هنر انقلاب اسلامی,jalali,0
2025-04-10,شهادت امیر سپهبد علی صیاد شیرازی(۱۳۷۸ ه‍.ش),jalali,0
2025-04-10,سالروز افتتاح حساب شمارهٔ ۱۰۰ به فرمان حضرت امام(ره) و تأسیس بنیاد مسکن انقلاب اسلامی(۱۳۵۸ ه‍.ش),jalali,0
2025-04-14,روز بزرگداشت عطار نیشابوری,jalali,0
2025-04-15,‫روز فرهنگ پهلوانی و ورزش زورخانه‌ای,hijri,0
2025-04-18,روز ارتش جمهوری اسلامی و نیروی زمینی,jalali,0
2025-04-19,فتح اندلس به دست مسلمانان(۹۲ ه‍‍.ق),hijri,0
2025-04-21,روز بزرگداشت سعدی,jalali,0
2025-04-21,روز نثر فارسی,jalali,0
2025-04-21,روز شهدای ورزشکار,jalali,0
2025-04-22,روز زمین پاک,jalali,0
2025-04-22,تأسیس سپاه پاسداران انقلاب اسلامی(۱۳۵۸ ه‍.ش),jalali,0
2025-04-22,سالروز اعلام انقلاب فرهنگی(۱۳۵۹ ه‍.ش),jalali,0
2025-04-23,شهادت حضرت امام جعفر صادق(ع)(۱۴۸ ه‍‍.ق),hijri,1
2025-04-23,شهادت امیر سپهبد قرنی(۱۳۵۸ ه‍.ش),jalali,0
2025-04-23,روز بزرگداشت شیخ بهایی,jalali,0
2025-04-23,روز معماری,jalali,0
2025-04-25,شکست حملهٔ نظامی آمریکا به ایران در طبس(۱۳۵۹ ه‍.ش),jalali,0
2025-04-25,روز جهانی DNA,gregorian,0
2025-04-27,روز ایمنی حمل و نقل,jalali,0
2025-04-28,ولادت حضرت معصومه(س)(۱۷۳ ه‍‍.ق) و روز دختران,hijri,0
2025-04-28,آغاز دههٔ کرامت,hijri,0
2025-04-29,روز شوراها,jalali,0
2025-04-30,آغاز عملیات بیت المقدس(۱۳۶۱ ه‍.ش),jalali,0
2025-04-30,روز ملی خلیج فارس,jalali,0
2025-05-01,روز جهانی کار و کارگر,gregorian,0
2025-05-02,روز تجلیل از امام‌زادگان و بقاع متبرکه,hijri,0
2025-05-02,‫روز بزرگداشت حضرت صالح بن موسی كاظم (ع),hijri,0
2025-05-02,شهادت استاد مرتضی مطهری(۱۳۵۸ ه‍.ش),jalali,0
2025-05-02,روز معلم,jalali,0
2025-05-03,روز بزرگداشت حضرت احمد بن موسی شاهچراغ(ع),hijri,0
2025-05-05,روز بزرگداشت شیخ صدوق,jalali,0
2025-05-05,روز جهانی ماما,gregorian,0
2025-05-08,ولادت حضرت امام رضا(ع)(۱۴۸ ه‍‍.ق),hijri,0
2025-05-08,روز بیماری‌های خاص و صعب‌العلاج,jalali,0
2025-05-08,روز جهانی صلیب سرخ و هلال احمر,gregorian,0
2025-05-09,روز اسناد ملی و میراث مکتوب,jalali,0
2025-05-09,روز بزرگداشت شیخ کلینی,jalali,0
2025-05-14,لغو امتیاز تنباکو به فتوای آیت‌اللّه میرزا حسن شیرازی(۱۲۷۰ ه‍.ش),jalali,0
2025-05-15,روز پاسداشت زبان فارسی و بزرگداشت حکیم ابوالقاسم فردوسی,jalali,0
2025-05-17,روز ارتباطات و روابط عمومی,jalali,0
2025-05-18,روز بزرگداشت حکیم عمر خیام,jalali,0
2025-05-18,روز جهانی موزه و میراث فرهنگی,gregorian,0
2025-05-20,روز ملی جمعیت,jalali,0
2025-05-21,روز اهدای عضو، اهدای زندگی,jalali,0
2025-05-22,روز بهره‌وری و بهینه‌سازی مصرف,jalali,0
2025-05-22,روز بزرگداشت ملاصدرا(صدرالمتألهین),jalali,0
2025-05-24,فتح خرمشهر در عملیات بیت‌المقدس(۱۳۶۱ ه‍.ش) و روز مقاومت، ایثار و پیروزی,jalali,0
2025-05-25,روز مقاومت و پایداری,jalali,0
2025-05-25,روز دزفول,jalali,0
2025-05-26,روز نسیم مهر(روز حمایت از خانوادهٔ زندانیان),jalali,0
2025-05-27,شهادت حضرت امام محمد تقی(ع) «جوادالائمه» (۲۲۰ ه‍‍.ق),hijri,0
2025-05-28,سالروز ازدواج حضرت امام علی(ع) و حضرت فاطمه(س)(۲ ه‍‍.ق),hijri,0
2025-05-28,روز ازدواج,hijri,0
2025-05-28,افتتاح اولین دورهٔ مجلس شورای اسلامی(۱۳۵۹ ه‍.ش),jalali,0
2025-05-31,روز جهانی بدون دخانیات,gregorian,0
2025-06-01,روز جهانی والدین,gregorian,0
2025-06-02,‫شهادت مظلومانهٔ زائران خانهٔ خدا به دست مأموران آل سعود(۱۳۶۶ ه‍.ش برابر با ۶ ذی‌الحجه ۱۴۰۷ ه‍‍.ق),hijri,0
2025-06-03,شهادت حضرت امام محمد باقر(ع)(۱۱۴ ه‍‍.ق),hijri,0
2025-06-04,رحلت حضرت امام خمینی رهبر کبیر انقلاب اسلامی(۱۳۶۸ ه‍.ش),jalali,1
2025-06-04,انتخاب حضرت آیت‌اللّه خامنه‌ای به رهبری(۱۳۶۸ ه‍.ش),jalali,0
2025-06-05,روز عرفه (روز نیایش),hijri,0
2025-06-05,زندانی شدن حضرت امام خمینی(ره) به دست مأموران ستم‌شاهی پهلوی(۱۳۴۲ ه‍.ش),jalali,0
2025-06-05,قیام خونین ۱۵ خرداد(۱۳۴۲ ه‍.ش),jalali,1
2025-06-05,روز جهانی محیط زیست,gregorian,0
2025-06-06,عید سعید قربان,hijri,1
2025-06-06,آغاز دههٔ امامت و ولایت,hijri,0
2025-06-10,شهادت آیت‌اللّه سعیدی به دست مأموران ستم‌شاهی پهلوی(۱۳۴۹ ه‍.ش),jalali,0
2025-06-10,روز صنایع دستی,jalali,0
2025-06-10,روز ملی فرش,jalali,0
2025-06-10,روز جهانی صنایع دستی,gregorian,0
2025-06-11,ولادت حضرت امام علی النقی الهادی(ع)(۲۱۲ ه‍‍.ق),hijri,0
2025-06-14,عید سعید غدیر خم(۱۰ ه‍‍.ق),hijri,1
2025-06-15,روز گل و گیاه,jalali,0
2025-06-16,ولادت حضرت امام موسی کاظم(ع)(۱۲۸ ه‍‍.ق),hijri,0
2025-06-16,شهادت سربازان دلیر اسلام: بخارایی، امانی، صفار هرندی و نیک‌نژاد(۱۳۴۴ ه‍.ش),jalali,0
2025-06-17,روز جهاد کشاورزی(تشکیل جهاد سازندگی به فرمان حضرت امام خمینی(ره)، ۱۳۵۸ ه‍.ش),jalali,0
2025-06-17,روز جهانی بیابان‌زدایی,gregorian,0
2025-06-19,درگذشت دکتر علی شریعتی(۱۳۵۶ ه‍.ش),jalali,0
2025-06-20,روز مباهلهٔ پیامبر اسلام(ص)(۱۰ ه‍‍.ق),hijri,0
2025-06-20,‫شهادت زائران حرم رضوی(ع) به دست ایادی آمریکا(عاشورای ۱۳۷۳ ه‍.ش)‬,jalali,0
2025-06-21,روز خانواده و تکریم بازنشستگان,hijri,0
2025-06-21,شهادت دکتر مصطفی چمران(۱۳۶۰ ه‍.ش),jalali,0
2025-06-21,روز بسیج استادان,jalali,0
2025-06-22,‫سالروز صدور فرمان حضرت امام خمینی(ره) مبنی بر‬ تأسیس سازمان تبلیغات اسلامی (۱۳۶۰ ه‍.ش),jalali,0
2025-06-22,روز تبلیغ و اطلاع‌رسانی دینی,jalali,0
2025-06-22,روز اصناف‬,jalali,0
2025-06-26,آغاز سال هجری قمری,hijri,0
2025-06-26,روز بزرگداشت محتشم کاشانی,hijri,0
2025-06-26,روز شعر و ادبیات آیینی,hijri,0
2025-06-26,روز جهانی مبارزه با مواد مخدر,gregorian,0
2025-06-27,روز امر به معروف و نهی از منکر,hijri,0
2025-06-28,شهادت مظلومانهٔ آیت‌اللّه دکتر بهشتی و ۷۲ تن از یاران امام خمینی(ره) با انفجار بمب به دست منافقان در دفتر مرکزی حزب جمهوری اسلامی (۱۳۶۰ ه‍.ش),jalali,0
2025-06-28,روز قوهٔ قضاییه,jalali,0
2025-06-28,بمباران شیمیایی شهر سردشت (۱۳۶۶ ه‍.ش),jalali,0
2025-06-29,روز مبارزه با سلاح‌های شیمیایی و میکروبی,jalali,0
2025-06-29,انتشار مجوز همگانی عمومی گنو نسخهٔ ۳ (GNU GPLv3) توسط بنیاد نرم‌افزار آزاد (۲۰۰۷ میلادی),gregorian,0
2025-07-01,روز آزادسازی شهر مهران,jalali,0
2025-07-01,روز بزرگداشت صائب تبریزی,jalali,0
2025-07-01,یاد روز ورود حضرت امام رضا (ع) به نیشابور و نقل حدیث سلسلةالذهب‬‫ و‬ ‫روز‬ ‫آزادسازی‬ ‫شهر‬ ‫مهران‬ ‫و‬ ‫روز‬ ‫بزرگداشت‬ ‫صائب‬ ‫تبریزی‬,jalali,0
2025-07-01,روز صنعت و معدن,jalali,0
2025-07-01,روز دیپلماسی فرهنگی و تعامل با جهان,jalali,0
2025-07-02,شهادت آیت‌اللّه صدوقی، چهارمین شهید محراب به دست منافقان(۱۳۶۱ ه‍.ش),jalali,0
2025-07-03,روز بزرگداشت علامه امینی(۱۳۴۹ ه‍.ش),jalali,0
2025-07-03,‫حملهٔ ددمنشانهٔ ناوگان آمریکای جنایتکار به هواپیمای مسافربری جمهوری اسلامی ایران‫(۱۳۶۷ ه‍.ش),jalali,0
2025-07-03,روز افشای حقوق بشر آمریکایی,jalali,0
2025-07-04,تاسوعای حسینی,hijri,1
2025-07-05,عاشورای حسینی,hijri,1
2025-07-05,روز قلم,jalali,0
2025-07-06,روز تجلیل از اسرا و مفقودان,hijri,0
2025-07-07,شهادت حضرت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق),hijri,0
2025-07-07,روز مالیات,jalali,0
2025-07-09,کشف توطئهٔ کودتای آمریکایی در پایگاه هوایی شهید نوژه(۱۳۵۹ ه‍.ش),jalali,0
2025-07-09,‫روز ادبیات کودکان و نوجوانان‬,jalali,0
2025-07-12,حمله به مسجد گوهرشاد و کشتار مردم توسط رضاخان(۱۳۱۴ ه‍.ش),jalali,0
2025-07-12,روز عفاف و حجاب,jalali,0
2025-07-13,روز بزرگداشت خوارزمی,jalali,0
2025-07-13,روز فناوری اطلاعات,jalali,0
2025-07-14,روز گفت‌وگو و تعامل سازنده با جهان,jalali,0
2025-07-14,گشایش نخستین مجلس خبرگان رهبری(۱۳۶۲ ه‍.ش),jalali,0
2025-07-16,روز بهزیستی و تأمین اجتماعی,jalali,0
2025-07-17,سالروز تأسیس نهاد شورای نگهبان,jalali,0
2025-07-18,اعلام پذیرش قطعنامهٔ ۵۹۸ شورای امنیت از سوی ایران(۱۳۶۷ ه‍.ش),jalali,0
2025-07-20,شهادت حضرت امام زین‌العابدین(ع)(۹۵ ه‍‍.ق) به روایتی,hijri,0
2025-07-21,روز بزرگداشت آیت‌الله سید ابولقاسم کاشانی,jalali,0
2025-07-22,روز تقریب پی (π),gregorian,0
2025-07-26,روز بزرگداشت شیخ صفی‌الدین اردبیلی,jalali,0
2025-07-27,ولادت امام محمد باقر(ع)(۵۷ ﻫ. ق) به روایتی,hijri,0
2025-07-27,سالروز عملیات افتخار آفرین مرصاد(۱۳۶۷ ه‍.ش),jalali,0
2025-07-28,روز کارآفرینی و آموزش‌های فنی و حرفه‌ای,jalali,0
2025-07-30,روز بزرگداشت شیخ شهاب‌الدین سهروردی(شیخ اشراق),jalali,0
2025-07-31,شهادت حضرت امام حسن مجتبی(ع)(۵۰ ه‍‍.ق)(به روایتی),hijri,0
2025-07-31,روز بزرگداشت سلمان فارسی,hijri,0
2025-07-31,روز اهدای خون,jalali,0
2025-08-01,روز جهانی شیر مادر,gregorian,0
2025-08-02,شهادت آیت‌اللّه شیخ فضل‌اللّه نوری(۱۲۸۸ ه‍.ش),jalali,0
2025-08-05,صدور فرمان مشروطیت(۱۲۸۵ ه‍.ش),jalali,0
2025-08-05,روز حقوق بشر اسلامی و کرامت انسانی,jalali,0
2025-08-06,انفجار بمب اتمی آمریکا در هیروشیما با بیش از ۱۶۰ هزار کشته و مجروح (۱۹۴۵ میلادی),gregorian,0
2025-08-07,تشکیل جهاد دانشگاهی(۱۳۵۹ ه‍.ش),jalali,0
2025-08-08,سالروز شهادت محمود صارمی,jalali,0
2025-08-08,روز خبرنگار,jalali,0
2025-08-09,روز بزرگداشت شهدای مدافع حرم,jalali,0
2025-08-12,روز حمایت از صنایع کوچک,jalali,0
2025-08-13,اربعین حسینی,hijri,1
2025-08-13,روز تشکل‌ها و مشارکت‌های اجتماعی,jalali,0
2025-08-14,روز مقاومت اسلامی,jalali,0
2025-08-17,آغاز بازگشت آزادگان به میهن اسلامی(۱۳۶۹ ه‍.ش),jalali,0
2025-08-19,گشایش مجلس خبرگان برای بررسی نهایی قانون اساسی جمهوری اسلامی ایران(۱۳۵۸ ه‍.ش),jalali,0
2025-08-19,کودتای آمریکا برای بازگرداندن شاه(۱۳۳۲ ه‍.ش),jalali,0
2025-08-21,رحلت حضرت رسول اکرم(ص)(۱۱ ه‍‍.ق),hijri,1
2025-08-21,شهادت حضرت امام حسن مجتبی(ع)(۵۰ ه‍‍.ق),hijri,0
2025-08-21,روز بزرگداشت علامه مجلسی,jalali,0
2025-08-21,روز جهانی مسجد,gregorian,0
2025-08-22,روز صنعت دفاعی,jalali,0
2025-08-23,شهادت حضرت امام رضا(ع)(۲۰۳ ه‍‍.ق),hijri,1
2025-08-23,روز بزرگداشت ابوعلی سینا,jalali,0
2025-08-23,روز پزشک,jalali,0
2025-08-24,هجرت حضرت رسول اکرم(ص) از مکه به مدینه,hijri,0
2025-08-24,آغاز هفتهٔ دولت,jalali,0
2025-08-24,‫شهادت سید علی اندرزگو(۲ شهریور ۱۳۵۷ ه‍.ش و ۱۹ رمضان ۱۳۹۸ ه‍‍.ق),jalali,0
2025-08-25,اشغال ایران توسط متفقین و فرار رضاخان(۱۳۲۰ ه‍.ش),jalali,0
2025-08-26,روز کارمند,jalali,0
2025-08-27,روز بزرگداشت محمد بن زکریای رازی,jalali,0
2025-08-27,روز داروسازی,jalali,0
2025-08-27,روز کُشتی,jalali,0
2025-08-30,انفجار دفتر نخست‌وزیری به دست منافقان و شهادت مظلومانهٔ شهیدان رجایی و باهنر (۱۳۶۰ ه‍.ش),jalali,0
2025-08-30,روز مبارزه با تروریسم,jalali,0
2025-08-31,شهادت حضرت امام حسن عسکری(ع)(۲۶۰ ه‍‍.ق) و آغاز امامت حضرت ولی‌عصر (عج),hijri,1
2025-09-01,روز بانکداری اسلامی(سالروز تصویب قانون عملیات بانکی بدون ربا، ۱۳۶۲ ه‍.ش),jalali,0
2025-09-01,روز تشکیل قرارگاه پدافند هوایی حضرت خاتم‌الانبیا (ص),jalali,0
2025-09-02,روز صنعت چاپ,jalali,0
2025-09-03,روز بهورز,jalali,0
2025-09-03,سالروز شهادت رییسعلی دلواری,jalali,0
2025-09-03,روز مبارزه با استعمار انگلیس,jalali,0
2025-09-04,ولادت حضرت رسول اکرم(ص) به روایت اهل سنت(۵۳ سال قبل از هجرت),hijri,0
2025-09-04,آغاز هفتهٔ وحدت,hijri,0
2025-09-04,آغاز واجب شدن نماز، ورود پیامبر به مدینه,hijri,0
2025-09-04,روز مردم‌شناسی,jalali,0
2025-09-04,روز تعاون,jalali,0
2025-09-04,روز بزرگداشت ابوریحان بیرونی,jalali,0
2025-09-04,روز علوم پایه,jalali,0
2025-09-05,شهادت آیت‌اللّه قدوسی و سرتیپ وحید دستجردی(۱۳۶۰ ه‍.ش),jalali,0
2025-09-07,بنای مسجد قبا(اولین مسجد در اسلام),hijri,0
2025-09-08,روز وقف,hijri,0
2025-09-08,ورود اهل بیت اما حسین(ع) به شام,hijri,0
2025-09-08,قیام ۱۷ شهریور و کشتار جمعی از مردم به دست مأموران ستم‌شاهی پهلوی(۱۳۵۷ ه‍.ش),jalali,0
2025-09-09,ولادت حضرت رسول اکرم(ص)(۵۳ سال قبل از هجرت) و روز اخلاق و مهرورزی,hijri,1
2025-09-09,ولادت حضرت امام جعفر صادق(ع) مؤسس مذهب جعفری(۸۳ ه‍‍.ق),hijri,0
2025-09-09,بنای مسجدالنبی در مدینه,hijri,0
2025-09-10,وفات آیت‌اللّه سید محمود طالقانی اولین امام جمعهٔ تهران(۱۳۵۸ ه‍.ش),jalali,0
2025-09-11,شهادت دومین شهید محراب، آیت‌اللّه مدنی به دست منافقان(۱۳۶۰ ه‍.ش),jalali,0
2025-09-12,روز سینما,jalali,0
2025-09-13,روز جهانی برنامه‌نویس (روز ۲۵۶ اُم سال میلادی),jalali,0
2025-09-15,ورود حضرت معصومه(س) به قم,hijri,0
2025-09-18,صلح امام حسن(ع),hijri,0
2025-09-18,روز شعر و ادب فارسی,jalali,0
2025-09-18,روز بزرگداشت استاد سید محمد حسین شهریار,jalali,0
2025-09-21,روز گفت‌وگوی تمدن‌ها,jalali,0
2025-09-22,آغاز جنگ تحمیلی(۱۳۵۹ ه‍.ش),jalali,0
2025-09-22,آغاز هفتهٔ دفاع مقدس,jalali,0
2025-09-24,سفر اما حسن(ع) به جرجان,hijri,0
2025-09-24,روز بزرگداشت شهدای منا,jalali,0
2025-09-25,ولادت شاه عبدالعظیم حسنی(ع),hijri,0
2025-09-26,روز سرباز,jalali,0
2025-09-27,هلاکت هشام بن عبدالملک صادر کنندهٔ دستور شهادت امام باقر(ع),hijri,0
2025-09-27,شکست حصر آبادان در عملیات ثامن‌الائمه(ع)(۱۳۶۰ ه‍.ش),jalali,0
2025-09-27,روز گردشگری,jalali,0
2025-09-29,ولادت حضرت امام حسن عسکری(ع)(۲۳۲ ه‍‍.ق),hijri,0
2025-09-29,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ﻫ. ق) به روایتی,hijri,0
2025-09-29,شهادت سرداران اسلام: فلاحی، فکوری، نامجو، کلاهدوز و جهان‌آرا(۱۳۶۰ ه‍.ش),jalali,0
2025-09-29,روز بزرگداشت فرماندهان شهید دفاع مقدس,jalali,0
2025-09-29,روز آتش‌نشانی و ایمنی,jalali,0
2025-09-29,روز بزرگداشت شمس,jalali,0
2025-09-30,روز بزرگداشت مولوی,jalali,0
2025-09-30,روز جهانی ناشنوایان,gregorian,0
2025-09-30,روز جهانی دریانوردی,gregorian,0
2025-10-01,وفات حضرت معصومه(س)(۲۰۱ ه‍‍.ق),hijri,0
2025-10-01,روز جهانی سالمندان,gregorian,0
2025-10-02,روز نخبگان,jalali,0
2025-10-05,هجرت حضرت امام خمینی(ره) از عراق به پاریس(۱۳۵۷ ه‍.ش),jalali,0
2025-10-05,روز نیروی انتظامی,jalali,0
2025-10-06,روز دامپزشکی,jalali,0
2025-10-07,روز روستا و عشایر,jalali,0
2025-10-07,روز جهانی حماسه فلسطین,jalali,0
2025-10-07,طوفان الاقصی,jalali,0
2025-10-08,روز جهانی کودک,gregorian,0
2025-10-09,روز جهانی پست,gregorian,0
2025-10-12,روز اسکان معلولان و سالمندان,jalali,0
2025-10-12,روز بزرگداشت حافظ,jalali,0
2025-10-14,روز جهانی استاندارد,gregorian,0
2025-10-15,شهادت پنجمین شهید محراب، آیت‌اللّه اشرفی اصفهانی به دست منافقان(۱۳۶۱ ه‍.ش),jalali,0
2025-10-15,روز جهانی نابینایان (عصای سفید),gregorian,0
2025-10-16,روز پیوند اولیا و مربیان,jalali,0
2025-10-16,‫سالروز واقعه به آتش كشیدن مسجد جامع شهر كرمان توسط دژخیمان رژیم پهلوی(۱۳۵۷ ه‍.ش),jalali,0
2025-10-16,روز ملی پارالمپیک,jalali,0
2025-10-16,روز جهانی غذا,gregorian,0
2025-10-17,روز نسل کشی کودکان و زنان فلسطینی,jalali,0
2025-10-18,روز تربیت بدنی و ورزش,jalali,0
